Audit Log - [AuditID: 20250322130305923001, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-22T13:03:05.925964600, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250322130305936002, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-22T13:03:05.936242, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250322130305937003, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-22T13:03:05.937249500, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250322130316704004, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-22T13:03:16.704441300, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250322130316705005, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-22T13:03:16.705439400, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250322130316712006, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-22T13:03:16.712405800, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250322130346870001, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-22T13:03:46.873619100, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250322130346884002, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-22T13:03:46.884240600, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250322130346886003, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-22T13:03:46.886238900, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250322130423103004, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-22T13:04:23.103102800, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250322130423104005, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-22T13:04:23.104410200, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250322130423105006, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-22T13:04:23.105559100, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250322130435393007, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-22T13:04:35.393868400, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250322130435394008, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-22T13:04:35.394860700, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250322130435397009, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-22T13:04:35.397695600, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250322130445638010, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-22T13:04:45.639627500, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250322130445640011, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-22T13:04:45.640630200, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250322130445640012, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-22T13:04:45.640630200, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250322130621670001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-22T13:06:21.672926700, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250322130621677002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-22T13:06:21.677923800, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250322130911222001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-22T13:09:11.225375100, Outcome: SUCCESS, Device: PC1, Role: NURSE]
